rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
1,1,0,OLD,20136068,히말라야,2015-12-16,4529795647,38.3,2303664641,103.5,43999571095,554307,259690,88.1,5683716,955,4678
2,2,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,2092539355,17.7,864281640,70.4,3329327070,247992,88926,55.9,408140,822,2088
3,3,2,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,1400855545,11.9,603603060,75.7,25550334085,154446,59442,62.6,2957680,552,2067
4,4,-1,OLD,20144442,조선마술사,2015-12-30,1153061953,9.8,387563159,50.6,2659511747,145065,40336,38.5,369722,608,2319
5,5,-1,OLD,20154242,몬스터 호텔 2,2015-12-24,991048145,8.4,287645560,40.9,8020060730,130502,29688,29.4,1093272,637,1828
6,6,0,OLD,20145171,대호,2015-12-16,531656900,4.5,216401900,68.6,12636465232,66476,24178,57.2,1650644,409,974
7,7,0,OLD,20155563,어린왕자,2015-12-23,312224753,2.6,77091259,32.8,3507811547,39819,7384,22.8,468674,368,679
8,8,0,OLD,20157197,라스트 위치 헌터,2015-12-30,235624600,2,48194300,25.7,580843600,28491,4014,16.4,78049,278,582
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,151254800,1.3,44265100,41.4,1679296300,20424,4981,32.3,234708,270,418
10,10,0,OLD,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,96435100,0.8,27436400,39.8,2998525700,12243,2749,29,404003,151,245
1,1,0,OLD,20136068,히말라야,2015-12-16,3263470020,27.5,-1266325627,-28,47263041115,404874,-149433,-27,6088590,841,3905
2,2,0,NEW,20157042,셜록: 유령신부,2016-01-02,3136359200,26.5,3136359200,100,3136359200,396224,396224,100,396224,831,3256
3,3,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1960437754,16.5,-132101601,-6.3,5289764824,232822,-15170,-6.1,640962,837,2076
4,4,1,OLD,20154242,몬스터 호텔 2,2015-12-24,787504446,6.6,-203543699,-20.5,8807565176,105175,-25327,-19.4,1198447,574,1559
5,5,-2,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,891221546,7.5,-509633999,-36.4,26441555631,96874,-57572,-37.3,3054554,472,1540
6,6,-2,OLD,20144442,조선마술사,2015-12-30,681016680,5.7,-472045273,-40.9,3340528427,86174,-58891,-40.6,455896,522,1724
7,7,-1,OLD,20145171,대호,2015-12-16,296045100,2.5,-235611800,-44.3,12932510332,37237,-29239,-44,1687881,340,652
8,8,-1,OLD,20155563,어린왕자,2015-12-23,229461880,1.9,-82762873,-26.5,3737273427,29804,-10015,-25.2,498478,331,531
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,131230700,1.1,-20024100,-13.2,1810527000,17872,-2552,-12.5,252580,243,345
10,10,-2,OLD,20157197,라스트 위치 헌터,2015-12-30,130950300,1.1,-104674300,-44.4,711793900,15773,-12718,-44.6,93822,246,424
1,1,0,OLD,20136068,히말라야,2015-12-16,2326205400,27.1,-937264620,-28.7,49589246515,289441,-115433,-28.5,6378031,811,3692
2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,2134618400,24.9,-1001740800,-31.9,5270977600,268938,-127286,-32.1,665162,891,3376
3,3,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1598725900,18.6,-361711854,-18.5,6888490724,190471,-42351,-18.2,831433,838,2105
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,600567800,7,-186936646,-23.7,9408132976,80032,-25143,-23.9,1278479,553,1419
5,5,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,613682900,7.1,-277538646,-31.1,27055238531,67499,-29375,-30.3,3122053,473,1453
6,6,0,OLD,20144442,조선마술사,2015-12-30,449854700,5.2,-231161980,-33.9,3790383127,57391,-28783,-33.4,513287,510,1556
7,7,0,OLD,20145171,대호,2015-12-16,206223000,2.4,-89822100,-30.3,13138733332,26055,-11182,-30,1713936,328,617
8,8,0,OLD,20155563,어린왕자,2015-12-23,184385600,2.1,-45076280,-19.6,3921659027,23754,-6050,-20.3,522232,320,503
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,116039900,1.4,-15190800,-11.6,1926566900,15705,-2167,-12.1,268285,253,356
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,97400900,1.1,-33549400,-25.6,809194800,11774,-3999,-25.4,105596,238,402
1,1,0,OLD,20136068,히말라야,2015-12-16,723039200,23.5,-1603166200,-68.9,50312285715,97194,-192247,-66.4,6475225,761,3482
2,2,0,OLD,20157042,셜록: 유령신부,2016-01-02,718311200,23.3,-1416307200,-66.3,5989288800,96300,-172638,-64.2,761462,736,3131
3,3,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,724673000,23.6,-874052900,-54.7,7613163724,92964,-97507,-51.2,924397,755,2188
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,227102600,7.4,-373465200,-62.2,9635235576,32544,-47488,-59.3,1311023,474,1123
5,5,1,OLD,20144442,조선마술사,2015-12-30,153463100,5,-296391600,-65.9,3943846227,21053,-36338,-63.3,534340,486,1446
6,6,-1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,165784500,5.4,-447898400,-73,27221023031,18947,-48552,-71.9,3141000,442,1314
7,7,1,OLD,20155563,어린왕자,2015-12-23,70842200,2.3,-113543400,-61.6,3992501227,9837,-13917,-58.6,532069,291,439
8,8,-1,OLD,20145171,대호,2015-12-16,66163600,2.2,-140059400,-67.9,13204896932,8913,-17142,-65.8,1722849,326,607
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,45405200,1.5,-70634700,-60.9,1971972100,6345,-9360,-59.6,274630,213,277
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,38316900,1.2,-59084000,-60.7,847511700,5023,-6751,-57.3,110619,236,441
1,1,0,OLD,20136068,히말라야,2015-12-16,639591600,23,-83447600,-11.5,50951877315,86250,-10944,-11.3,6561475,759,3443
2,2,1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,627868300,22.6,-96804700,-13.4,8241032024,81170,-11794,-12.7,1005567,780,2211
3,3,-1,OLD,20157042,셜록: 유령신부,2016-01-02,548322400,19.7,-169988800,-23.7,6537611200,73733,-22567,-23.4,835195,747,3067
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,246997600,8.9,19895000,8.8,9882233176,35873,3329,10.2,1346896,479,1128
5,5,0,OLD,20144442,조선마술사,2015-12-30,150061500,5.4,-3401600,-2.2,4093907727,20662,-391,-1.9,555002,478,1403
6,6,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,157626500,5.7,-8158000,-4.9,27378649531,17931,-1016,-5.4,3158931,439,1321
7,7,0,OLD,20155563,어린왕자,2015-12-23,81638700,2.9,10796500,15.2,4074139927,11440,1603,16.3,543509,294,437
8,8,0,OLD,20145171,대호,2015-12-16,62227600,2.2,-3936000,-5.9,13267124532,8530,-383,-4.3,1731379,315,603
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,48631000,1.7,3225800,7.1,2020603100,6913,568,9,281543,207,271
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,34175200,1.2,-4141700,-10.8,881686900,4474,-549,-10.9,115093,226,411
1,1,0,OLD,20136068,히말라야,2015-12-16,586057000,23.7,-53534600,-8.4,51537934315,79260,-6990,-8.1,6640735,762,3428
2,2,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,585938800,23.7,-41929500,-6.7,8826970824,75721,-5449,-6.7,1081288,786,2306
3,3,0,OLD,20157042,셜록: 유령신부,2016-01-02,463892500,18.7,-84429900,-15.4,7001503700,62132,-11601,-15.7,897327,712,3006
4,4,0,OLD,20154242,몬스터 호텔 2,2015-12-24,201621100,8.1,-45376500,-18.4,10083854276,29401,-6472,-18,1376297,465,1092
5,5,1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,156784100,6.3,-842400,-0.5,27535433631,17420,-511,-2.8,3176351,444,1283
6,6,-1,OLD,20144442,조선마술사,2015-12-30,115650900,4.7,-34410600,-22.9,4209558627,16277,-4385,-21.2,571279,461,1333
7,7,0,OLD,20155563,어린왕자,2015-12-23,79648800,3.2,-1989900,-2.4,4153788727,11288,-152,-1.3,554797,293,438
8,8,0,OLD,20145171,대호,2015-12-16,60774200,2.5,-1453400,-2.3,13327898732,8379,-151,-1.8,1739758,324,581
9,9,0,OLD,20153702,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,38687600,1.6,-9943400,-20.4,2059290700,5636,-1277,-18.5,287179,211,280
10,10,0,OLD,20157197,라스트 위치 헌터,2015-12-30,31948900,1.3,-2226300,-6.5,913635800,4171,-303,-6.8,119264,220,414
1,1,0,NEW,20155422,굿 다이노,2016-01-07,523650100,16.1,523650100,100,534112100,74492,74492,100,75762,585,1668
2,2,-1,OLD,20136068,히말라야,2015-12-16,502194600,15.5,-83862400,-14.3,52040128915,68185,-11075,-14,6708920,614,2571
3,3,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,500164400,15.4,-85774400,-14.6,9327135224,64349,-11372,-15,1145637,730,2099
4,4,14,OLD,20142641,나를 잊지 말아요,2016-01-07,482064700,14.9,475557700,7308.4,547138700,63347,62541,7759.4,70697,503,2317
5,5,-2,OLD,20157042,셜록: 유령신부,2016-01-02,345019900,10.6,-118872600,-25.6,7346523600,46128,-16004,-25.8,943455,563,2296
6,6,0,NEW,20153087,포인트 브레이크,2016-01-07,250267000,7.7,250267000,100,262539000,32809,32809,100,34343,352,1137
7,7,0,NEW,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,119600100,3.7,119600100,100,135186100,17073,17073,100,18844,300,423
8,8,-4,OLD,20154242,몬스터 호텔 2,2015-12-24,106933300,3.3,-94687800,-47,10190787576,15391,-14010,-47.7,1391688,296,485
9,9,0,NEW,20159510,헤이트풀8,2016-01-07,87581200,2.7,87581200,100,95461200,11342,11342,100,12268,153,431
10,10,4,OLD,20152370,잡아야 산다,2016-01-07,61739700,1.9,49625700,409.7,78501700,8688,7292,522.3,10645,198,450
1,1,2,OLD,20150025,내부자들: 디 오리지널,2015-12-31,648261322,18.2,148096922,29.6,9975396546,77646,13297,20.7,1223283,755,2170
2,2,-1,OLD,20155422,굿 다이노,2016-01-07,543830700,15.3,20180600,3.9,1077942800,74320,-172,-0.2,150082,630,1753
3,3,-1,OLD,20136068,히말라야,2015-12-16,562133800,15.8,59939200,11.9,52602262715,71250,3065,4.5,6780170,628,2598
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,454390900,12.8,-27673800,-5.7,1001529600,55628,-7719,-12.2,126325,524,2314
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,399974678,11.2,54954778,15.9,7746498278,49794,3666,7.9,993249,575,2276
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,266341222,7.5,16074222,6.4,528880222,33138,329,1,67481,375,1184
7,7,1,OLD,20154242,몬스터 호텔 2,2015-12-24,98801800,2.8,-8131500,-7.6,10289589376,13882,-1509,-9.8,1405570,304,493
8,8,-1,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,96997500,2.7,-22602600,-18.9,232183600,13253,-3820,-22.4,32097,315,453
9,9,0,OLD,20159510,헤이트풀8,2016-01-07,108955200,3.1,21374000,24.4,204416400,12836,1494,13.2,25104,159,429
10,10,2,OLD,20144442,조선마술사,2015-12-30,84523100,2.4,33396500,65.3,4345208327,10593,3579,51,588886,289,597
1,1,1,OLD,20155422,굿 다이노,2016-01-07,1511039900,20.4,967209200,177.9,2588982700,197495,123175,165.7,347577,803,2392
2,2,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1395004729,18.8,746743407,115.2,11370401275,165024,87378,112.5,1388307,811,2321
3,3,0,OLD,20136068,히말라야,2015-12-16,1215516500,16.4,653382700,116.2,53817779215,151692,80442,112.9,6931862,672,2719
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,781831500,10.6,327440600,72.1,1783361100,94370,38742,69.6,220695,559,2354
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,757411471,10.2,357436793,89.4,8503909749,93663,43869,88.1,1086912,566,2083
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,509224529,6.9,242883307,91.2,1038104751,62760,29622,89.4,130241,395,1110
7,7,1,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,252027900,3.4,155030400,159.8,484211500,34435,21182,159.8,66532,343,564
8,8,-1,OLD,20154242,몬스터 호텔 2,2015-12-24,183241700,2.5,84439900,85.5,10472831076,24597,10715,77.2,1430167,344,556
9,9,0,OLD,20159510,헤이트풀8,2016-01-07,188587300,2.5,79632100,73.1,393003700,21821,8985,70,46925,162,409
10,10,1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,171653100,2.3,90817800,112.3,27850865631,19991,10311,106.5,3214073,254,441
1,1,0,OLD,20155422,굿 다이노,2016-01-07,1558207700,22.8,47167800,3.1,4147190400,202619,5124,2.6,550196,814,2424
2,2,1,OLD,20136068,히말라야,2015-12-16,1228145100,18,12628600,1,55045924315,152776,1084,0.7,7084638,654,2634
3,3,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,1189763200,17.4,-205241529,-14.7,12560164475,141795,-23229,-14.1,1530102,807,2262
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,670432300,9.8,-111399200,-14.2,2453793400,81261,-13109,-13.9,301956,529,2193
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,593285200,8.7,-164126271,-21.7,9097194949,74291,-19372,-20.7,1161203,534,1945
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,458957000,6.7,-50267529,-9.9,1497061751,57234,-5526,-8.8,187475,407,1116
7,7,0,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,255057300,3.7,3029400,1.2,739268800,34451,16,0,100983,350,565
8,8,0,OLD,20154242,몬스터 호텔 2,2015-12-24,176338200,2.6,-6903500,-3.8,10649169276,23282,-1315,-5.3,1453449,339,548
9,9,1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,160014200,2.3,-11638900,-6.8,28010879831,18724,-1267,-6.3,3232797,261,441
10,10,-1,OLD,20159510,헤이트풀8,2016-01-07,158826000,2.3,-29761300,-15.8,551829700,18374,-3447,-15.8,65299,157,394
1,1,1,OLD,20136068,히말라야,2015-12-16,422644900,20.3,-805500200,-65.6,55468569215,57070,-95706,-62.6,7141708,624,2512
2,2,1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,374741100,18,-815022100,-68.5,12934905575,48417,-93378,-65.9,1578519,781,2193
3,3,-2,OLD,20155422,굿 다이노,2016-01-07,336968600,16.2,-1221239100,-78.4,4484159000,47179,-155440,-76.7,597375,638,1882
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,227150100,10.9,-443282200,-66.1,2680943500,30127,-51134,-62.9,332083,519,2117
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,169872300,8.2,-423412900,-71.4,9267067249,22602,-51689,-69.6,1183805,513,1789
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,151339600,7.3,-307617400,-67,1648401351,20011,-37223,-65,207486,402,1207
7,7,0,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,60110300,2.9,-194947000,-76.4,799379100,8541,-25910,-75.2,109524,318,484
8,8,2,OLD,20159510,헤이트풀8,2016-01-07,65750100,3.2,-93075900,-58.6,617579800,8375,-9999,-54.4,73674,164,431
9,9,-1,OLD,20154242,몬스터 호텔 2,2015-12-24,45578700,2.2,-130759500,-74.2,10694747976,6380,-16902,-72.6,1459829,295,455
10,10,-1,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,48587800,2.3,-111426400,-69.6,28059467631,5779,-12945,-69.1,3238576,237,423
1,1,0,OLD,20136068,히말라야,2015-12-16,410479400,19.9,-12165500,-2.9,55879048615,56235,-835,-1.5,7197943,643,2511
2,2,1,OLD,20155422,굿 다이노,2016-01-07,369091800,17.9,32123200,9.5,4853250800,52850,5671,12,650225,652,1899
3,3,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,342774700,16.6,-31966400,-8.5,13277680275,44627,-3790,-7.8,1623146,792,2187
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,209592500,10.2,-17557600,-7.7,2890536000,27801,-2326,-7.7,359884,512,2053
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,158303400,7.7,-11568900,-6.8,9425370649,21212,-1390,-6.1,1205017,498,1745
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,138732900,6.7,-12606700,-8.3,1787134251,18408,-1603,-8,225894,409,1200
7,7,0,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,60567000,2.9,456700,0.8,859946100,8683,142,1.7,118207,321,485
8,8,0,OLD,20159510,헤이트풀8,2016-01-07,67374600,3.3,1624500,2.5,684954400,8557,182,2.2,82231,167,431
9,9,0,OLD,20154242,몬스터 호텔 2,2015-12-24,55164100,2.7,9585400,21,10749912076,7958,1578,24.7,1467787,297,454
10,10,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,51585200,2.5,2997400,6.2,28111052831,6265,486,8.4,3244841,231,407
1,1,0,OLD,20136068,히말라야,2015-12-16,363408700,18.4,-47070700,-11.5,56242457315,49174,-7061,-12.6,7247117,626,2463
2,2,0,OLD,20155422,굿 다이노,2016-01-07,318104200,16.1,-50987600,-13.8,5171355000,45896,-6954,-13.2,696121,643,1880
3,3,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,315043900,15.9,-27730800,-8.1,13592724175,40866,-3761,-8.4,1664012,793,2175
4,4,0,OLD,20142641,나를 잊지 말아요,2016-01-07,195344900,9.9,-14247600,-6.8,3085880900,25835,-1966,-7.1,385719,504,2022
5,5,0,OLD,20157042,셜록: 유령신부,2016-01-02,150098800,7.6,-8204600,-5.2,9575469449,20071,-1141,-5.4,1225088,495,1682
6,6,0,OLD,20153087,포인트 브레이크,2016-01-07,132079800,6.7,-6653100,-4.8,1919214051,17422,-986,-5.4,243316,408,1214
7,7,1,OLD,20159510,헤이트풀8,2016-01-07,62008000,3.1,-5366600,-8,746962400,7848,-709,-8.3,90079,164,420
8,8,1,OLD,20154242,몬스터 호텔 2,2015-12-24,51480600,2.6,-3683500,-6.7,10801392676,7566,-392,-4.9,1475353,291,447
9,9,-2,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,49912800,2.5,-10654200,-17.6,909858900,7239,-1444,-16.6,125446,313,479
10,10,0,OLD,20154141,스타워즈: 깨어난 포스,2015-12-17,59175100,3,7589900,14.7,28170227931,7207,942,15,3252048,237,420
1,1,0,NEW,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,942932000,31.6,942932000,100,963768000,124146,124146,100,126712,704,2390
2,2,14,OLD,20068576,그날의 분위기,2016-01-14,511107000,17.1,494843000,3042.6,572336000,67607,65574,3225.5,75126,592,2854
3,3,-1,OLD,20155422,굿 다이노,2016-01-07,274139300,9.2,-43964900,-13.8,5445494300,40356,-5540,-12.1,736477,546,1464
4,4,-3,OLD,20136068,히말라야,2015-12-16,267189800,9,-96218900,-26.5,56509647115,37351,-11823,-24,7284468,489,1566
5,5,-2,OLD,20150025,내부자들: 디 오리지널,2015-12-31,224101200,7.5,-90942700,-28.9,13816825375,29117,-11749,-28.8,1693129,555,1446
6,6,9,OLD,20157158,구스범스,2016-01-14,193532900,6.5,173652900,873.5,272959900,26744,24259,976.2,38413,447,1561
7,7,7,OLD,20158483,오빠생각,2016-01-21,89263000,3,63959000,252.8,141868000,10614,7451,235.6,16761,83,83
8,8,-3,OLD,20157042,셜록: 유령신부,2016-01-02,47754400,1.6,-102344400,-68.2,9623223849,6440,-13631,-67.9,1231528,225,436
9,9,-5,OLD,20142641,나를 잊지 말아요,2016-01-07,45120200,1.5,-150224700,-76.9,3131001100,6047,-19788,-76.6,391766,278,600
10,10,-4,OLD,20153087,포인트 브레이크,2016-01-07,45344400,1.5,-86735400,-65.7,1964558451,5923,-11499,-66,249239,233,583
1,1,0,OLD,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,1084511293,33.4,141579293,15,2048279293,132655,8509,6.9,259367,819,2754
2,2,0,OLD,20068576,그날의 분위기,2016-01-14,549634307,16.9,38527307,7.5,1121970307,68328,721,1.1,143454,575,2799
3,3,0,OLD,20155422,굿 다이노,2016-01-07,298117700,9.2,23978400,8.7,5743612000,42425,2069,5.1,778902,563,1488
4,4,0,OLD,20136068,히말라야,2015-12-16,294318000,9.1,27128200,10.2,56803965115,37699,348,0.9,7322167,491,1609
5,5,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,279087200,8.6,54986000,24.5,14095912575,33783,4666,16,1726912,569,1466
6,6,0,OLD,20157158,구스범스,2016-01-14,213060207,6.6,19527307,10.1,486020107,28116,1372,5.1,66529,472,1563
7,7,1,OLD,20157042,셜록: 유령신부,2016-01-02,60361500,1.9,12607100,26.4,9683585349,7859,1419,22,1239387,227,448
8,8,2,OLD,20153087,포인트 브레이크,2016-01-07,55870500,1.7,10526100,23.2,2020428951,6921,998,16.8,256160,243,602
9,9,0,OLD,20142641,나를 잊지 말아요,2016-01-07,47153000,1.5,2032800,4.5,3178154100,5823,-224,-3.7,397589,280,612
10,10,1,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,36605200,1.1,924600,2.6,982144700,4995,-89,-1.8,135525,224,297
1,1,0,OLD,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,2436068895,36.1,1351557602,124.6,4484348188,294850,162195,122.3,554217,940,3357
2,2,1,OLD,20155422,굿 다이노,2016-01-07,910545100,13.5,612427400,205.4,6654157100,121503,79078,186.4,900405,612,1714
3,3,-1,OLD,20068576,그날의 분위기,2016-01-14,913962805,13.6,364328498,66.3,2035933112,111188,42860,62.7,254642,586,2645
4,4,0,OLD,20136068,히말라야,2015-12-16,607715900,9,313397900,106.5,57411681015,76325,38626,102.5,7398492,537,1708
5,5,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,559171100,8.3,280083900,100.4,14655083675,66686,32903,97.4,1793598,560,1453
6,6,0,OLD,20157158,구스범스,2016-01-14,438131805,6.5,225071598,105.6,924151912,57092,28976,103.1,123621,515,1511
7,7,3,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,123530700,1.8,86925500,237.5,1105675400,16729,11734,234.9,152254,247,356
8,8,0,OLD,20153087,포인트 브레이크,2016-01-07,96040200,1.4,40169700,71.9,2116469151,11718,4797,69.3,267878,229,542
9,9,-2,OLD,20157042,셜록: 유령신부,2016-01-02,94817400,1.4,34455900,57.1,9778402749,11646,3787,48.2,1251033,229,403
10,10,1,OLD,20154242,몬스터 호텔 2,2015-12-24,62291100,0.9,35546600,132.9,10914729076,8357,4535,118.7,1491038,148,204
1,1,0,OLD,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,2189218200,35.1,-246850695,-10.1,6673566388,267736,-27114,-9.2,821953,967,3384
2,2,0,OLD,20155422,굿 다이노,2016-01-07,852775200,13.7,-57769900,-6.3,7506932300,112549,-8954,-7.4,1012954,612,1704
3,3,0,OLD,20068576,그날의 분위기,2016-01-14,826423900,13.2,-87538905,-9.6,2862357012,100689,-10499,-9.4,355331,563,2526
4,4,0,OLD,20136068,히말라야,2015-12-16,605659900,9.7,-2056000,-0.3,58017340915,75874,-451,-0.6,7474366,519,1645
5,5,1,OLD,20157158,구스범스,2016-01-14,452802400,7.3,14670595,3.3,1376954312,58956,1864,3.3,182577,512,1461
6,6,-1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,483682500,7.8,-75488600,-13.5,15138766175,57825,-8861,-13.3,1851423,554,1401
7,7,0,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,131097500,2.1,7566800,6.1,1236772900,17568,839,5,169822,255,364
8,8,0,OLD,20153087,포인트 브레이크,2016-01-07,94764700,1.5,-1275500,-1.3,2211233851,11572,-146,-1.2,279450,229,524
9,9,0,OLD,20157042,셜록: 유령신부,2016-01-02,80988500,1.3,-13828900,-14.6,9859391249,10044,-1602,-13.8,1261077,225,372
10,10,1,OLD,20142641,나를 잊지 말아요,2016-01-07,71342800,1.1,3504500,5.2,3317335200,8523,290,3.5,414345,261,474
1,1,0,OLD,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,640584900,32.8,-1548633300,-70.7,7314151288,83519,-184217,-68.8,905472,897,3196
2,2,1,OLD,20068576,그날의 분위기,2016-01-14,327205400,16.7,-499218500,-60.4,3189562412,43069,-57620,-57.2,398400,535,2415
3,3,1,OLD,20136068,히말라야,2015-12-16,194607900,10,-411052000,-67.9,58211948815,26573,-49301,-65,7500939,495,1534
4,4,-2,OLD,20155422,굿 다이노,2016-01-07,152446400,7.8,-700328800,-82.1,7659378700,21813,-90736,-80.6,1034767,509,1380
5,5,1,OLD,20150025,내부자들: 디 오리지널,2015-12-31,155513300,8,-328169200,-67.8,15294279475,20439,-37386,-64.7,1871862,533,1343
6,6,-1,OLD,20157158,구스범스,2016-01-14,129838300,6.6,-322964100,-71.3,1506792612,17836,-41120,-69.7,200413,451,1378
7,7,0,NEW,20157466,"로봇, 소리",2016-01-27,39934000,2,39934000,100,76704000,5020,5020,100,9538,22,22
8,8,0,NEW,20158483,오빠생각,2016-01-21,34566000,1.8,34566000,100,202543000,4377,4377,100,23928,18,18
9,9,-1,OLD,20153087,포인트 브레이크,2016-01-07,30462800,1.6,-64301900,-67.9,2241696651,4010,-7562,-65.3,283460,225,489
10,10,-1,OLD,20157042,셜록: 유령신부,2016-01-02,29473500,1.5,-51515000,-63.6,9888864749,3962,-6082,-60.6,1265039,209,364
1,1,0,OLD,20154001,레버넌트: 죽음에서 돌아온 자,2016-01-14,593623100,32.2,-46961800,-7.3,7907774388,77169,-6350,-7.6,982641,903,3171
2,2,0,OLD,20068576,그날의 분위기,2016-01-14,283460400,15.4,-43745000,-13.4,3473022812,37505,-5564,-12.9,435905,532,2362
3,3,0,OLD,20136068,히말라야,2015-12-16,186746100,10.1,-7861800,-4,58398694915,25450,-1123,-4.2,7526389,492,1522
4,4,0,OLD,20155422,굿 다이노,2016-01-07,159606400,8.6,7160000,4.7,7818985100,23490,1677,7.7,1058257,515,1347
5,5,0,OLD,20150025,내부자들: 디 오리지널,2015-12-31,146247300,7.9,-9266000,-6,15440526775,19118,-1321,-6.5,1890980,527,1317
6,6,0,OLD,20157158,구스범스,2016-01-14,132956500,7.2,3118200,2.4,1639749112,18506,670,3.8,218919,461,1356
7,7,2,OLD,20153087,포인트 브레이크,2016-01-07,33830800,1.8,3368000,11.1,2275527451,4449,439,10.9,287909,224,482
8,8,2,OLD,20157042,셜록: 유령신부,2016-01-02,27828400,1.5,-1645100,-5.6,9916693149,3768,-194,-4.9,1268807,214,373
9,9,0,NEW,20151021,순정,2016-02-24,30510000,1.7,30510000,100,68333000,3688,3688,100,8478,8,12
10,10,1,OLD,20150024,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,23734200,1.3,822500,3.6,1283418800,3389,140,4.3,176460,213,280
