rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
2,2,0,OLD,20178982,박열,2017-06-28,958855700,9.8,-154827058,-13.9,14216166396,118132,-18337,-13.4,1842240,686,2775
3,3,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,214510100,2.2,-17213400,-7.4,21140999028,27613,-1719,-5.9,2566880,394,814
4,4,0,OLD,20158485,옥자,2017-06-29,146034000,1.5,-31873800,-17.9,1635646500,19186,-3726,-16.3,215145,97,300
5,5,0,OLD,20176961,지랄발광 17세,2017-06-28,42838900,0.4,-8775300,-17,565169100,5270,-1007,-16,71400,110,261
6,6,2,OLD,20176741,꼬마참새 리차드: 아프리카 원정대,2017-06-15,35373600,0.4,2162100,6.5,578352600,4641,228,5.2,77737,63,108
7,7,-1,OLD,20159647,리얼,2017-06-28,34498900,0.4,-9064500,-20.8,3229013230,4509,-1265,-21.9,448430,228,315
8,8,-1,OLD,20175821,언더더씨,2017-06-22,34022000,0.3,-4202500,-11,369030100,4294,-627,-12.7,47870,83,122
9,9,1,OLD,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,2017-06-29,26564500,0.3,3051600,13,145457700,4047,485,13.6,21777,114,156
10,10,3,OLD,20178121,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,14915300,0.2,599800,4.2,169278800,2158,76,3.7,24290,102,135
1,1,0,OLD,20167303,스파이더맨: 홈 커밍,2017-07-05,1977266100,78.3,-6191035600,-75.8,31449323924,254624,-716147,-73.8,3818570,1761,9331
2,2,0,OLD,20178982,박열,2017-06-28,313715800,12.4,-645139900,-67.3,14529882196,43647,-74485,-63.1,1885887,691,2941
3,3,0,OLD,20166967,트랜스포머: 최후의 기사,2017-06-21,45718400,1.8,-168791700,-78.7,21186717428,6203,-21410,-77.5,2573083,371,848
4,4,0,OLD,20158485,옥자,2017-06-29,42437500,1.7,-103596500,-70.9,1678084000,5864,-13322,-69.4,221009,83,256
5,5,0,NEW,20162869,택시운전사,2017-08-02,25236000,1,25236000,100,26838000,4036,4036,100,4218,8,12
6,6,1,OLD,20159647,리얼,2017-06-28,18284900,0.7,-16214000,-47,3247298130,2562,-1947,-43.2,450992,271,393
